Abeillia abeillei_kolibřík smaragdovohrdlý
Abroscopus albogularis_budníček rezavolící
Abroscopus superciliaris_budníček šedokorunkatý
Aburria aburri_guan aburri
Acanthagenys rufogularis_medosavka modrooká
Acanthidops bairdi_Peg-billed Finch
Acanthis cabaret_Lesser Redpoll
Acanthis flammea_čečetka zimní
Acanthis hornemanni_čečetka bělavá
Acanthisitta chloris_pokřovník zelený
Acanthiza apicalis_střízlíkovec australský
Acanthiza chrysorrhoa_střízlíkovec žlutokostřecový
Acanthiza ewingii_střízlíkovec jižní
Acanthiza inornata_střízlíkovec západoaustralský
Acanthiza lineata_střízlíkovec blahovičníkový
Acanthiza nana_střízlíkovec žlutý
Acanthiza pusilla_střízlíkovec rudooký
Acanthiza reguloides_střízlíkovec východoaustralský
Acanthiza robustirostris_střízlíkovec šedohřbetý
Acanthiza uropygialis_střízlíkovec světlebřichý
Acanthorhynchus superciliosus_jehlozobka západní
Acanthorhynchus tenuirostris_jehlozobka východní
Accipiter badius_krahujec šikra
Accipiter bicolor_jestřáb dvoubarvý
Accipiter cirrocephalus_krahujec rudolímcový
Accipiter cooperii_jestřáb Cooperův
Accipiter erythronemius_jestřáb rudorousý
Accipiter fasciatus_jestřáb australský
Accipiter gentilis_jestřáb lesní
Accipiter gularis_krahujec menší
Accipiter hiogaster_Variable Goshawk
Accipiter melanoleucus_jestřáb černohřbetý
Accipiter minullus_krahujec nejmenší
Accipiter nisus_krahujec obecný
Accipiter novaehollandiae_jestřáb proměnlivý
Accipiter poliogaster_jestřáb jihoamerický
Accipiter striatus_krahujec americký
Accipiter superciliosus_krahujec malý
Accipiter tachiro_jestřáb tachiro
Accipiter trinotatus_krahujec třískvrnný
Accipiter trivirgatus_jestřáb chocholatý
Accipiter ventralis_krahujec kolumbijský
Accipiter virgatus_krahujec besra
Aceros nipalensis_zoborožec rudokrký
Acridotheres burmannicus_majna barmská
Acridotheres cristatellus_majna chocholatá
Acridotheres fuscus_majna hnědá
Acridotheres ginginianus_majna pobřežní
Acridotheres grandis_majna velká
Acridotheres tristis_majna obecná
Acrocephalus agricola_rákosník plavý
Acrocephalus arundinaceus_Great Reed Warbler
Acrocephalus australis_rákosník australský
Acrocephalus baeticatus_rákosník africký
Acrocephalus bistrigiceps_rákosník východní
Acrocephalus dumetorum_rákosník pokřovní
Acrocephalus gracilirostris_rákosník jižní
Acrocephalus kerearako_rákosník mitiaroský
Acrocephalus melanopogon_rákosník tamaryškový
Acrocephalus newtoni_rákosník madagaskarský
Acrocephalus orientalis_rákosník sibiřský
Acrocephalus paludicola_rákosník ostřicový
Acrocephalus palustris_rákosník zpěvný
Acrocephalus rufescens_rákosník větší
Acrocephalus schoenobaenus_rákosník proužkovaný
Acrocephalus scirpaceus_rákosník obecný
Acrocephalus stentoreus_rákosník hlučnohlasý
Acrocephalus tangorum_rákosník mandžuský
Acropternis orthonyx_štidlák perličkový
Actenoides concretus_ledňáček rezavolímcový
Actenoides hombroni_ledňáček modrotemenný
Actenoides lindsayi_ledňáček skvrnitý
Actenoides monachus_ledňáček poustevnický
Actinodura cyanouroptera_Blue-winged Minla
Actinodura egertoni_timálie rezavošedá
Actinodura nipalensis_timálie ojíněná
Actinodura ramsayi_timálie brýlatá
Actinodura strigula_Chestnut-tailed Minla
Actinodura waldeni_timálie drozdí
Actitis hypoleucos_pisík obecný
Actitis macularius_pisík americký
Actophilornis africanus_ostnák africký
Adelomyia melanogenys_kolibřík mozaikový
Aechmophorus clarkii_potápka Clarkova
Aechmophorus occidentalis_potápka západní
Aegithalos caudatus_mlynařík dlouhoocasý
Aegithalos concinnus_mlynařík kaštanovotemenný
Aegithalos glaucogularis_Silver-throated Tit
Aegithalos niveogularis_mlynařík bělohrdlý
Aegithina nigrolutea_jora černohlavá
Aegithina tiphia_jora černokřídlá
Aegithina viridissima_jora zelená
Aegolius acadicus_sýc americký
Aegolius funereus_sýc rousný
Aegolius harrisii_sýc plavočelý
Aegolius ridgwayi_sýc panamský
Aegotheles crinifrons_lelčík molucký
Aegotheles cristatus_Australian Owlet-Nightjar
Aeronautes andecolus_rorýs andský
Aeronautes montivagus_rorýs horský
Aeronautes saxatalis_rorýs bělohrdlý
Aethia pusilla_alkounek nejmenší
Aethopyga christinae_strdimil vidloocasý
Aethopyga gouldiae_strdimil rudohřbetý
Aethopyga ignicauda_strdimil plamenoocasý
Aethopyga nipalensis_strdimil indomalajský
Aethopyga saturata_strdimil černohrdlý
Aethopyga siparaja_strdimil karmínovoprsý
Aethopyga temminckii_strdimil vousatý
Aethopyga vigorsii_strdimil západoindický
Agapornis fischeri_agapornis Fischerův
Agapornis personatus_agapornis škraboškový
Agapornis roseicollis_agapornis růžovohrdlý
Agapornis taranta_agapornis etiopský
Agelaioides badius_vlhovec šedohnědý
Agelaius phoeniceus_vlhovec červenokřídlý
Agelaius tricolor_vlhovec tříbarvý
Agelasticus cyanopus_vlhovec jednobarvý
Agelasticus thilius_vlhovec žlutoramenný
Aglaiocercus coelestis_sylfa fialovoocasá
Aglaiocercus kingii_Long-tailed Sylph
Agriornis montanus_tyranovec bledooký
Agropsar philippensis_Chestnut-cheeked Starling
Ailuroedus crassirostris_lemčík tlustozobý
Ailuroedus maculosus_Spotted Catbird
Aimophila notosticta_strnádka mexická
Aimophila rufescens_strnádka rezavá
Aimophila ruficeps_strnádka rezavotemenná
Aix galericulata_kachnička mandarinská
Aix sponsa_kachnička karolinská
Akletos goeldii_Goeldi's Antbird
Akletos melanoceps_White-shouldered Antbird
Alaemon alaudipes_skřivan dudkovitý
Alauda arvensis_skřivan polní
Alauda gulgula_skřivan východní
Alauda leucoptera_kalandra bělokřídlá
Alaudala cheleensis_skřivánek čínský
Alaudala raytal_skřivánek indický
Alaudala rufescens_skřivánek menší
Alca torda_alka malá
Alcedo atthis_ledňáček říční
Alcedo coerulescens_ledňáček drobný
Alcedo meninting_ledňáček modrohřbetý
Alcippe brunneicauda_timálie šedobřichá
Alcippe fratercula_Yunnan Fulvetta
Alcippe hueti_Huet's Fulvetta
