Abeillia abeillei_kolibrík zelenobradý
Abroscopus albogularis_pradešan červenolíci
Abroscopus superciliaris_pradešan bambusový
Aburria aburri_morkovec lalôčkový
Acanthagenys rufogularis_medárik hnedohrdlý
Acanthidops bairdi_Peg-billed Finch
Acanthis cabaret_Lesser Redpoll
Acanthis flammea_stehlík čečetka
Acanthis hornemanni_stehlík polárny
Acanthisitta chloris_striežik zelenkavý
Acanthiza apicalis_ostrozobka hnedochvostá
Acanthiza chrysorrhoa_ostrozobka lúčna
Acanthiza ewingii_ostrozobka tasmánska
Acanthiza inornata_ostrozobka plavá
Acanthiza lineata_ostrozobka čiarková
Acanthiza nana_ostrozobka žltobruchá
Acanthiza pusilla_ostrozobka hrdzavočelá
Acanthiza reguloides_ostrozobka kôrarská
Acanthiza robustirostris_ostrozobka popolavá
Acanthiza uropygialis_ostrozobka bútľavinová
Acanthorhynchus superciliosus_peliar hrdzavokrký
Acanthorhynchus tenuirostris_peliar tenkozobý
Accipiter badius_jastrab šikra
Accipiter bicolor_jastrab dvojfarebný
Accipiter cirrocephalus_jastrab goliernatý
Accipiter cooperii_jastrab čiapočkatý
Accipiter erythronemius_jastrab štíhly
Accipiter fasciatus_jastrab pásikavý
Accipiter gentilis_jastrab veľký
Accipiter gularis_jastrab japonský
Accipiter hiogaster_jastrab hrdzavobruchý
Accipiter melanoleucus_jastrab čierno-biely
Accipiter minullus_jastrab krahulček
Accipiter nisus_jastrab krahulec
Accipiter novaehollandiae_jastrab menlivý
Accipiter poliogaster_jastrab sivobruchý
Accipiter striatus_jastrab čiarkový
Accipiter superciliosus_jastrab drobný
Accipiter tachiro_jastrab tachiro
Accipiter trinotatus_jastrab trojškvrnový
Accipiter trivirgatus_jastrab chochlatý
Accipiter ventralis_jastrab horský
Accipiter virgatus_jastrab besra
Aceros nipalensis_zobákorožec hrdzavý
Acridotheres burmannicus_škorec vínovoprsý
Acridotheres cristatellus_škorec chochlatý
Acridotheres fuscus_škorec džungľový
Acridotheres ginginianus_škorec pobrežný
Acridotheres grandis_škorec smútočný
Acridotheres tristis_škorec hnedý
Acrocephalus agricola_trsteniarik roľný
Acrocephalus arundinaceus_Great Reed Warbler
Acrocephalus australis_trsteniarik austrálsky
Acrocephalus baeticatus_trsteniarik záhradný
Acrocephalus bistrigiceps_trsteniarik pestrohlavý
Acrocephalus dumetorum_trsteniarik krovinový
Acrocephalus gracilirostris_trsteniarik čiernonohý
Acrocephalus kerearako_trsteniarik ostrovný
Acrocephalus melanopogon_trsteniarik tamariškový
Acrocephalus newtoni_trsteniarik madagaskarský
Acrocephalus orientalis_trsteniarik východný
Acrocephalus paludicola_trsteniarik vodný
Acrocephalus palustris_trsteniarik obyčajný
Acrocephalus rufescens_trsteniarik hnedkavý
Acrocephalus schoenobaenus_trsteniarik malý
Acrocephalus scirpaceus_trsteniarik bahenný
Acrocephalus stentoreus_trsteniarik dlhozobý
Acrocephalus tangorum_trsteniarik mandžuský
Acropternis orthonyx_perličkár pazúrnatý
Actenoides concretus_rybárikovec zelenohlavý
Actenoides hombroni_rybárikovec modrohlavý
Actenoides lindsayi_rybárikovec bodkovaný
Actenoides monachus_rybárikovec mníšsky
Actinodura cyanouroptera_Blue-winged Minla
Actinodura egertoni_prúžkavec húštinový
Actinodura nipalensis_prúžkavec sivohrdlý
Actinodura ramsayi_prúžkavec okuliarnatý
Actinodura strigula_Chestnut-tailed Minla
Actinodura waldeni_prúžkavec machový
Actitis hypoleucos_kalužiačik malý
Actitis macularius_kalužiačik škvrnitý
Actophilornis africanus_jakana modročelá
Adelomyia melanogenys_vrchárik jaspisový
Aechmophorus clarkii_potápka bielolíca
Aechmophorus occidentalis_potápka ostrozobá
Aegithalos caudatus_mlynárka dlhochvostá
Aegithalos concinnus_mlynárka čiapočkatá
Aegithalos glaucogularis_Silver-throated Tit
Aegithalos niveogularis_mlynárka bielohrdlá
Aegithina nigrolutea_jara bielochvostá
Aegithina tiphia_jara čiernokrídla
Aegithina viridissima_jara zelená
Aegolius acadicus_pôtik škripľavý
Aegolius funereus_pôtik kapcavý
Aegolius harrisii_pôtik okrový
Aegolius ridgwayi_pôtik pláštikový
Aegotheles crinifrons_lelčík fúzatý
Aegotheles cristatus_Australian Owlet-Nightjar
Aeronautes andecolus_vzducholovec belavý
Aeronautes montivagus_vzducholovec vrchovský
Aeronautes saxatalis_vzducholovec bielohrdlý
Aethia pusilla_kosierkár drobný
Aethopyga christinae_nektárovka vidlochvostá
Aethopyga gouldiae_nektárovka modrochvostá
Aethopyga ignicauda_nektárovka ohnivochvostá
Aethopyga nipalensis_nektárovka zelenochvostá
Aethopyga saturata_nektárovka čiernohrdlá
Aethopyga siparaja_nektárovka siparadža
Aethopyga temminckii_nektárovka červená
Aethopyga vigorsii_nektárovka šarlátová
Agapornis fischeri_agapornis akáciový
Agapornis personatus_agapornis pestrý
Agapornis roseicollis_agapornis ružovohrdlý
Agapornis taranta_agapornis tmavokrídly
Agelaioides badius_vlhovec hnedý
Agelaius phoeniceus_vlhovec červenokrídly
Agelaius tricolor_vlhovec trojfarebný
Agelasticus cyanopus_vlhovec jednofarebný
Agelasticus thilius_vlhovec bahenný
Aglaiocercus coelestis_vrchárik fialovec
Aglaiocercus kingii_Long-tailed Sylph
Agriornis montanus_pamuchár horský
Agropsar philippensis_Chestnut-cheeked Starling
Ailuroedus crassirostris_šiatorník zelený
Ailuroedus maculosus_šiatorník sivohrdlý
Aimophila notosticta_strnádlik čiernozobý
Aimophila rufescens_strnádlik hrdzavý
Aimophila ruficeps_strnádlik skalný
Aix galericulata_kačička mandarínska
Aix sponsa_kačička obojková
Akletos goeldii_Goeldi's Antbird
Akletos melanoceps_White-shouldered Antbird
Alaemon alaudipes_behuľa dlhozobá
Alauda arvensis_škovránok poľný
Alauda gulgula_škovránok krátkochvostý
Alauda leucoptera_škovránok bielokrídly
Alaudala cheleensis_škovránka stepná
Alaudala raytal_škovránka retal
Alaudala rufescens_škovránka malá
Alca torda_alka vrúbkozobá
Alcedo atthis_rybárik riečny
Alcedo coerulescens_rybárik mangrovový
Alcedo meninting_rybárik lesný
Alcippe brunneicauda_alkipa družná
Alcippe fratercula_alkipa plavobruchá
Alcippe hueti_alkipa mandarínska
Alcippe morrisonia_alkipa sivolíca
Alcippe nipalensis_alkipa hrdzavochrbtá
Alcippe peracensis_alkipa hôrna
Alcippe poioicephala_alkipa hnedolíca
Alcippe pyrrhoptera_alkipa jávska
Aleadryas rufinucha_schovánok žltobradý
Alectoris barbara_Barbary Partridge
Alectoris chukar_kuropta čukar
