Abeillia abeillei_翠頦蜂鳥
Abroscopus albogularis_棕脸鹟莺
Abroscopus superciliaris_黃腹鶲鶯
Aburria aburri_肉垂冠雉
Acanthagenys rufogularis_刺頰垂蜜鳥
Acanthidops bairdi_Peg-billed Finch
Acanthis cabaret_Lesser Redpoll
Acanthis flammea_普通朱頂雀〔白腰朱頂雀〕
Acanthis hornemanni_极北朱顶雀
Acanthisitta chloris_刺鷯
Acanthiza apicalis_內陸刺嘴鶯
Acanthiza chrysorrhoa_黃腰刺嘴鶯
Acanthiza ewingii_塔岛刺嘴莺
Acanthiza inornata_西刺嘴莺
Acanthiza lineata_縱紋刺嘴鶯
Acanthiza nana_小刺嘴莺
Acanthiza pusilla_褐刺嘴莺
Acanthiza reguloides_棕尾刺嘴莺
Acanthiza robustirostris_強健刺嘴鶯
Acanthiza uropygialis_栗尾刺嘴莺
Acanthorhynchus superciliosus_西尖嘴吸蜜鸟
Acanthorhynchus tenuirostris_东尖嘴吸蜜鸟
Accipiter badius_褐耳雀鷹
Accipiter bicolor_双色鹰
Accipiter cirrocephalus_領雀鷹
Accipiter cooperii_库氏鹰
Accipiter erythronemius_红腿鹰
Accipiter fasciatus_褐鷹
Accipiter gentilis_苍鹰
Accipiter gularis_日本松雀鷹
Accipiter hiogaster_杂色鹰
Accipiter melanoleucus_黑白雀鷹
Accipiter minullus_小雀鷹
Accipiter nisus_北雀鷹〔雀鷹〕
Accipiter novaehollandiae_灰鷹
Accipiter poliogaster_灰腹鷹
Accipiter striatus_條紋鷹
Accipiter superciliosus_侏鷹
Accipiter tachiro_非洲鷹
Accipiter trinotatus_斑尾鹰
Accipiter trivirgatus_凤头鹰
Accipiter ventralis_淡胸鷹
Accipiter virgatus_松雀鷹
Aceros nipalensis_棕頸犀鳥
Acridotheres burmannicus_紅嘴椋鳥
Acridotheres cristatellus_八哥
Acridotheres fuscus_从林八哥
Acridotheres ginginianus_灰背岸八哥
Acridotheres grandis_林八哥
Acridotheres tristis_家八哥
Acrocephalus agricola_稻田苇莺
Acrocephalus arundinaceus_Great Reed Warbler
Acrocephalus australis_澳洲苇莺
Acrocephalus baeticatus_熱帶葦鶯
Acrocephalus bistrigiceps_雙眉葦鶯
Acrocephalus dumetorum_布氏苇莺
Acrocephalus gracilirostris_細嘴葦鶯
Acrocephalus kerearako_库岛苇莺
Acrocephalus melanopogon_须苇莺
Acrocephalus newtoni_馬達加斯加沼澤葦鶯
Acrocephalus orientalis_东方大苇莺
Acrocephalus paludicola_水栖苇莺
